UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.140#pm0.024, #Delta#sigma_{MC,Data}=-0.152#pm0.019
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.205#pm0.037, #Delta#sigma_{MC,Data}=-0.631#pm0.033
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.055#pm0.079, #Delta#sigma_{MC,Data}=-0.714#pm0.075
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.022#pm0.022, #Delta#sigma_{MC,Data}=-0.004#pm0.018
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.057#pm0.039, #Delta#sigma_{MC,Data}=-0.219#pm0.034
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.261#pm0.094, #Delta#sigma_{MC,Data}=-0.477#pm0.076
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.202#pm0.034, #Delta#sigma_{MC,Data}=-0.405#pm0.030
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.333#pm0.058, #Delta#sigma_{MC,Data}=-1.510#pm0.054
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=-0.205#pm0.118, #Delta#sigma_{MC,Data}=-1.514#pm0.116
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.097#pm0.034, #Delta#sigma_{MC,Data}=-0.053#pm0.028
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.131#pm0.059, #Delta#sigma_{MC,Data}=-0.526#pm0.048
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.356#pm0.140, #Delta#sigma_{MC,Data}=-0.825#pm0.115
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.321#pm0.062, #Delta#sigma_{MC,Data}=-1.248#pm0.054
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.409#pm0.102, #Delta#sigma_{MC,Data}=-3.712#pm0.092
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.531#pm0.213, #Delta#sigma_{MC,Data}=-3.313#pm0.205
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.120#pm0.069, #Delta#sigma_{MC,Data}=-0.156#pm0.052
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.579#pm0.119, #Delta#sigma_{MC,Data}=-1.319#pm0.090
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.134#pm0.270, #Delta#sigma_{MC,Data}=-2.059#pm0.198
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.106#pm0.091, #Delta#sigma_{MC,Data}=-2.330#pm0.084
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.178#pm0.148, #Delta#sigma_{MC,Data}=-6.416#pm0.133
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-1.054#pm0.276, #Delta#sigma_{MC,Data}=-5.113#pm0.269
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.452#pm0.127, #Delta#sigma_{MC,Data}=-0.433#pm0.085
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.392#pm0.167, #Delta#sigma_{MC,Data}=-2.262#pm0.125
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.735#pm0.429, #Delta#sigma_{MC,Data}=-3.322#pm0.287
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.445#pm0.117, #Delta#sigma_{MC,Data}=-3.186#pm0.116
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-1.326#pm0.180, #Delta#sigma_{MC,Data}=-9.122#pm0.179
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-2.821#pm0.360, #Delta#sigma_{MC,Data}=-6.593#pm0.337
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-1.044#pm0.196, #Delta#sigma_{MC,Data}=-0.763#pm0.122
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-2.963#pm0.236, #Delta#sigma_{MC,Data}=-3.474#pm0.164
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-3.761#pm0.633, #Delta#sigma_{MC,Data}=-4.835#pm0.383
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.086#pm0.019, #Delta#sigma_{MC,Data}=-0.309#pm0.015
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.190#pm0.037, #Delta#sigma_{MC,Data}=-0.802#pm0.032
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.049#pm0.079, #Delta#sigma_{MC,Data}=-1.274#pm0.072
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.027#pm0.021, #Delta#sigma_{MC,Data}=-0.182#pm0.017
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.055#pm0.035, #Delta#sigma_{MC,Data}=-0.513#pm0.030
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.162#pm0.104, #Delta#sigma_{MC,Data}=-1.193#pm0.080
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.083#pm0.027, #Delta#sigma_{MC,Data}=-0.631#pm0.023
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.186#pm0.047, #Delta#sigma_{MC,Data}=-1.628#pm0.041
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=-0.226#pm0.117, #Delta#sigma_{MC,Data}=-2.089#pm0.103
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.081#pm0.031, #Delta#sigma_{MC,Data}=-0.329#pm0.024
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.248#pm0.055, #Delta#sigma_{MC,Data}=-0.939#pm0.045
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.627#pm0.161, #Delta#sigma_{MC,Data}=-1.958#pm0.125
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.171#pm0.051, #Delta#sigma_{MC,Data}=-1.461#pm0.045
UE Data/MC(#bf{10-30%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.380#pm0.096, #Delta#sigma_{MC,Data}=-3.701#pm0.081
UE Data/MC(#bf{0-10%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.200#pm0.203, #Delta#sigma_{MC,Data}=-3.966#pm0.189
UE Data/MC(#bf{30-50%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.243#pm0.063, #Delta#sigma_{MC,Data}=-0.683#pm0.049
